日期,最高连板天数,股票名称,情绪数据
2025-09-08,5,首开科技,
2025-09-09,10,天普股份,
2025-09-10,11,天普股份,
2025-09-11,3,青山纸业,
2025-09-12,4,青山纸业,
2025-09-15,3,华建集团,
2025-09-16,4,华建集团,
2025-09-17,4,山子高科,
2025-09-18,12,天普股份,
2025-09-19,13,天普股份,
2025-09-22,14,天普股份,
2025-09-23,15,天普股份,
2025-09-24,4,华软科技,
2025-09-25,5,华软科技,
2025-09-26,5,蓝丰生化,
2025-09-29,6,蓝丰生化,
2025-09-30,7,蓝丰生化,
2025-10-09,4,天际股份,
2025-10-10,3,合缎智能,
2025-10-13,4,合锻智能,
2025-10-14,4,安泰科技,
2025-10-15,3,国光连锁,
2025-10-16,3,新农股份,
2025-10-17,4,远大控股,
2025-10-20,5,大有能源,
2025-10-21,6,大有能源,
2025-10-22,7,大有能源,
2025-10-23,8,大有能源,
2025-10-24,5,盈新发展,
2025-10-27,6,盈新发展,
2025-10-28,7,盈新发展,
2025-10-29,5,时空科技,
2025-10-30,6,时空科技,
2025-10-31,7,时空科技,
2025-11-03,5,合富中国,
2025-11-04,6,合富中国,
2025-11-05,7,合富中国,
2025-11-06,8,合富中国,
2025-11-07,9,合富中国,
2025-11-10,5,摩恩电气,
2025-11-11,6,摩恩电气,
2025-11-12,7,摩恩电气,
2025-11-13,8,摩恩电气,
2025-11-14,7,孚日股份,
2025-11-17,8,孚日股份,
2025-11-18,6,胜利股份,
2025-11-19,6,真爱美家,
2025-11-20,7,九牧王,
2025-11-21,6,中水渔业,
2025-11-24,7,中水渔业,
2025-11-25,5,梦天家居,
2025-11-26,5,实达集团,
2025-11-27,4,广济药业,
2025-11-28,5,金富科技,
2025-12-01,6,金富科技,
2025-12-02,7,金富科技,
2025-12-03,6,海欣食品,
2025-12-04,3,太阳电缆,
2025-12-05,4,太阳电缆,
2025-12-08,5,安记食品,
2025-12-09,6,安记食品,
2025-12-10,6,龙洲股份,
2025-12-11,5,东百集团,
2025-12-12,5,再升科技,
2025-12-15,6,再升科技,
2025-12-16,4,华菱线缆,
2025-12-17,5,百大集团,
2025-12-18,6,百大集团,
2025-12-19,6,胜通能源,
2025-12-22,7,胜通能源,
2025-12-23,8,胜通能源,
2025-12-24,9,胜通能源,
2025-12-25,10,胜通能源,
2025-12-26,11,胜通能源,
2025-12-29,12,胜通能源,
2025-12-30,10,嘉美包装,
2025-12-31,6,大业股份,
2026-01-05,7,锋龙股份,
2026-01-06,8,锋龙股份,
2026-01-07,9,锋龙股份,
2026-01-08,10,锋龙股份,
2026-01-09,11,锋龙股份,
2026-01-12,12,锋龙股份,
2026-01-13,13,锋龙股份,
2026-01-14,5,直真科技,
2026-01-15,4,博菲电气,
2026-01-16,5,博菲电气,
2026-01-19,14,锋龙股份,
2026-01-20,15,锋龙股份,
2026-01-21,16,锋龙股份,
2026-01-22,17,锋龙股份,
2026-01-23,18,锋龙股份,
2026-01-26,5,白银有色,
2026-01-27,6,白银有色,
2026-01-28,7,白银有色,
2026-01-29,8,白银有色,
2026-01-30,5,湖南黄金,
2026-02-02,3,万丰股份,
2026-02-03,4,横店影视,
2026-02-04,4,杭电股份,
2026-02-05,4,民爆光电,
2026-02-06,3,韩建河山,
2026-02-09,4,协鑫集成,
2026-02-10,3,百川股份,
2026-02-11,4,百川股份,
2026-02-12,4,掌阅科技,
2026-02-13,5,掌阅科技,
2026-02-24,4,豫能控股,
2026-02-25,5,豫能控股,
2026-02-26,6,豫能控股,
2026-02-27,7,豫能控股,
2026-03-02,3,泰嘉股份,
2026-03-03,3,华盛昌,
2026-03-04,4,水发燃气,
2026-03-05,2,王力安防,
2026-03-06,3,王力安防,
2026-03-09,4,顺钠股份,
2026-03-10,5,王力安防,
2026-03-11,4,宁波建工,
2026-03-12,4,中南文化,
2026-03-13,5,中南文化,
2026-03-16,3,法尔胜,
2026-03-17,4,法尔胜,
2026-03-18,5,三房巷,
2026-03-19,4,深华发Ａ,
2026-03-20,5,华电辽能,
2026-03-23,6,华电辽能,
2026-03-24,7,华电辽能,
2026-03-25,8,华电辽能,
2026-03-26,3,美诺华,
2026-03-27,4,新能泰山,
2026-03-30,5,美诺华,
2026-03-31,4,神剑股份,
2026-04-01,4,津药药业,
2026-04-02,5,津药药业,
2026-04-03,6,津药药业,
2026-04-06,6,津药药业,
2026-04-07,7,津药药业,
2026-04-08,4,汇源通信,
2026-04-09,5,汇源通信,
2026-04-10,4,华远控股,
2026-04-13,5,华远控股,
2026-04-14,6,华远控股,
2026-04-15,5,圣阳股份,
2026-04-16,6,圣阳股份,
2026-04-17,7,圣阳股份,
2026-04-20,6,博云新材,
2026-04-21,4,株冶集团,
2026-04-22,4,金 螳 螂,
2026-04-23,5,金 螳 螂,
2026-04-24,3,水发燃气,
2026-04-27,4,水发燃气,
2026-04-28,5,水发燃气,
2026-04-29,3,越剑智能,
2026-04-30,4,越剑智能,
2026-05-01,4,越剑智能,
2026-05-04,4,越剑智能,
2026-05-05,4,越剑智能,
2026-05-06,4,宝光股份,
2026-05-07,5,金 螳 螂,
2026-05-08,4,福达合金,
2026-05-11,5,福达合金,
2026-05-12,5,大唐发电,
2026-05-13,6,大唐发电,
2026-05-14,5,蒙娜丽莎,
2026-05-15,6,蒙娜丽莎,
